epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6427,1.76077,20.9372,1.04215,0.0006,0.30577,0.00065,0.00018,1.909,19.0612,1.33711,0.000664032,0.000664032,0.000664032
2,66.9754,1.77556,9.12144,1.06794,0.001,0.31357,0.00162,0.00052,2.00871,9.75589,1.16027,0.00131752,0.00131752,0.00131752
3,94.654,1.85158,3.44172,1.16187,0.09798,0.00468,0.00387,0.00145,1.97851,9.0448,2.2998,0.00195782,0.00195782,0.00195782
4,121.439,1.88396,3.10788,1.20183,0.00054,0.00468,0.00027,6e-05,2.05561,2.76713,1.29967,0.0019406,0.0019406,0.0019406
5,146.755,1.86298,2.96556,1.20999,0.00551,0.039,0.00318,0.00098,1.96329,2.69979,1.16019,0.0019208,0.0019208,0.0019208
6,172.656,1.84833,3.05618,1.21418,0.01298,0.0624,0.0078,0.00176,1.90596,2.51665,1.28295,0.001901,0.001901,0.001901
7,199.346,1.83728,3.02147,1.1642,0.01972,0.0312,0.01141,0.00318,1.84832,2.69818,1.12087,0.0018812,0.0018812,0.0018812
8,227.542,1.8105,3.07532,1.13394,0,0,0,0,1.8649,3.24435,1.76957,0.0018614,0.0018614,0.0018614
9,254.314,1.80815,3.00381,1.12028,0.04157,0.05772,0.02387,0.0099,1.94452,3.04962,1.16964,0.0018416,0.0018416,0.0018416
10,281.47,1.8149,3.04055,1.10989,0.00242,0.07488,0.00207,0.00067,1.79752,3.78023,1.17102,0.0018218,0.0018218,0.0018218
11,308.153,1.74127,3.00823,1.08473,0.03286,0.01092,0.01701,0.00529,1.73562,2.7182,1.10581,0.001802,0.001802,0.001802
12,334.49,1.73446,3.02864,1.06891,0,0,0,0,1.84063,3.0585,1.10421,0.0017822,0.0017822,0.0017822
13,361.068,1.72266,2.9571,1.06055,0,0,0,0,1.88992,2.96096,1.10676,0.0017624,0.0017624,0.0017624
14,388.375,1.73467,2.88191,1.05193,0,0,0,0,1.92987,3.22664,1.13417,0.0017426,0.0017426,0.0017426
15,415.082,1.71308,2.82935,1.01544,0,0,0,0,1.79103,2.75283,1.04931,0.0017228,0.0017228,0.0017228
16,440.806,1.70178,2.81867,1.01856,0.07563,0.05616,0.04298,0.01491,1.86377,2.85688,1.11146,0.001703,0.001703,0.001703
17,466.451,1.74766,2.81213,1.01816,0.11538,0.00468,0.05988,0.01964,1.89498,3.08664,1.11495,0.0016832,0.0016832,0.0016832
18,492.83,1.68602,2.77349,1.01047,0.06122,0.00936,0.03309,0.01649,1.84167,2.99289,1.09223,0.0016634,0.0016634,0.0016634
19,519.156,1.67395,2.72045,0.98221,0.0897,0.04212,0.04883,0.0176,1.83205,2.83615,1.07326,0.0016436,0.0016436,0.0016436
20,545.226,1.65569,2.72118,1.00879,0.07571,0.03744,0.04067,0.01632,1.84689,2.80817,1.0991,0.0016238,0.0016238,0.0016238
21,571.322,1.66977,2.69608,0.97797,0.07432,0.03432,0.03929,0.01516,1.82847,2.83563,1.05909,0.001604,0.001604,0.001604
22,597.76,1.67034,2.65946,0.99664,0.0522,0.0702,0.03235,0.01182,1.87443,2.74869,1.10781,0.0015842,0.0015842,0.0015842
23,623.997,1.65945,2.61832,0.99359,0.07312,0.05304,0.04105,0.01581,1.76479,2.74276,1.0542,0.0015644,0.0015644,0.0015644
24,649.746,1.63752,2.67621,0.99521,0.04949,0.04524,0.02688,0.01046,1.77374,2.78149,1.03686,0.0015446,0.0015446,0.0015446
25,676.916,1.63372,2.5866,0.97681,0.0448,0.07332,0.02663,0.01075,1.80008,2.65476,1.05276,0.0015248,0.0015248,0.0015248
26,703.553,1.61772,2.53504,0.97112,0.0568,0.06708,0.03449,0.01351,1.61356,2.40206,0.96419,0.001505,0.001505,0.001505
27,729.57,1.63948,2.42116,0.9769,0.01349,0.07176,0.01056,0.00353,1.72092,2.48861,1.01334,0.0014852,0.0014852,0.0014852
